term,definition
consanguineous,of the same origin; related by blood
halycon,calm; peaceful
equinamity,calmness and evenness of mind
abstruse,difficult to understand
poultices,moist substances applied to a wound
syncopated,abbreviated; music stressing the weak beat
coltish,energetic but awkward in one's movements or behavior
hueristic,a problem solving approach (algorithm) to find a satisfactory solution where finding an optimal or exact solution is impractical or impossible
panned,to criticize severely
effete,lacking in wholesome vigor or energy; warn-out or exhausted; sterile or unable to produce; out-of-date
conversance,familiar with or knowledgeable about something
hinterland,a remote and undeveloped area
berserk,in a state of violent or destructive rage
prescient,having foresight
antipathy,strong dislike
nadir,the lowest point of something
akimbo to,with hands on the hips and elbows turned outward
heterodox,unorthodox
tony,fashionable; trendy; aristocratic
peccadilloes,"a small, relatively unimportant offense or sin; misdemeanor; petty offense; indiscretion; lapse; misdeed"
facile,easily done or attained; superficial; ready; fluemt; easily shown but not sincerely felt
dispensation,a special allowance; privilege; gift
presciently,seeing into the future
nonplussed,puzzled; not knowing what to do; at a loss
impecunious,having little or no money
abettor,one who helps or encourages or incites another
antediluvian,extremely old; antiquated
askance to,with an attitude or look of suspicion or disapproval
catharsis,a release of emotional tension
genteel,well-mannered; refined; polite
euphemistically,"the substitution of a mild, indirect, or vague expression for one thought to be offensive, harsh, or blunt"
vainglorious,excessively proud or boastful; elated by vanity
cogent,forceful; convincing; relevant; to the point
garrulous,talkative
imbue,to inspire or influence; to saturate
veracity,truthfulness; honesty
acturial,calculating; pertaining to insurance statistics
besmirch,to make dirty; to stain
truism,a way-too-obvious truth
pandered,gratify or indulge
purblind,having poor vision; nearly or partly blind
expatiation,to speak or write at length
grandiloquent,pompous or high-flown in speech
vitreous,glassy
spurious,not genuine; not true; not valid
pedantry,a pretentious display of knowledge
distention,swelling
dissemble,to disguise; to pretend
taciturn,habitually silent or quiet; inclined to talk very little
demonize,portray as wicked and threatening
indignant,feeling or showing anger or annoyance at what is perceived as unfair treatment
salubrious,healthy
anathema,an object of intense dislike; a curse or strong denunciation
sangfoid,"composure or coolness, especially in trying circumstances"
pulchritude,physical beauty
inveigle,to tempt or persuade by using deception or flattery
apathetic,feeling or showing little emotion
plaudits,applause; enthusiastic praise or approval
candor,honesty
mendacious,givne to lying or deception; untrue
mores,fixed customs or manners; moral attitudes
moralizing,giving advice that is particular to the situation
avaricious,excessively greedy
assent,to express agreement; agreement
anachronistically,not in chronological order
concomitant,accompanying in a subordinate fashion
decamped,having left quickly and/or secretly
inured to,not affected by
utilitarian,practical
defeasible,able to be undone or voided
arcadian,simple; peaceful; rustic
dulcet,melodious; pleasing to the ear
chary of,suspicious or slightly scared of
aver,to affirm; declare confidently
deftly,skillfully
exacting,demanding perfection; strict
protean,changeable
modicum,a small amount of something
ascetic,practicing self-denial; austere
disseminate,to scatter or spread widely
solicitous,concerned and attentive; eager
idiosyncratic,peculiar to one person; highly individualized
patent,evident or obvious
clandestine,secret; concealed; underhanded
piques,to excite or cause interest
malign,to speak evil of; slander; evil
prologue,"a speech passage or event coming before the main speech or event"
sagacious,wise; having keen perception and sound judgement
vociferously,in a loud-voiced manner; vehemently; noisily
banal,hackneyed; trite; commonplace; unoriginal
solipsism,the theory that the self is the only reality
effusive,emotionally excessive; overly demonstrative
dissipation,wasteful spending; squandering
impugn,to call into question; to attack as false
belies,contradicts
maudlin,overly sentimental
rhetoric,the art of using language effectively and persuasively
quotidian,occurring daily; commonplace
nugatory,of no value or importance
foibles,a minor weakness or failing of character
semiotic,of or relating to signs or symbols
listlessly,without energy or interest
licentious,morally unrestrained
portmanteau,a new word formed by joining two others and combining their meanings
complimentary,expressing a compliment; praising or approving
antedated,precede in time; come before (something) in date
waxed,increased
titillation,"excitement; stimulation, often superficial"
excoriation,skin sore or abrasion produced by scratching or scraping
mollifies,appease the anger or anxiety of (someone)
dilettante,one who merely dabbles in an art or a science
wend,"go in a specified direction, typically slowly or by an indirect route"
misanthrope,a person who dislikes humankind and avoids human society
enervating,causing one to feel drained of energy or vitality
sable,(n.) a marten with a short tail and dark brown fur; (adj.) black
exhortation,an address or communication emphatically urging someoen to do something
diptych,"a painting, especially an altarpiece, on two hinged wooden panels which may be close like a book"
oeuvre,"the works of a painter, composer, or author regarded collectively"
austerity,the condition of living without unnecessary things and without comfort
audacious,showing a willingness to take surprisingly bold risks
impudent,not showing due respect for another person; impertinent
repose,the state of being at rest
succor,assistance and support in times of hardship and distress
amity,a friendly relationship
dolor,a state of great sorrow or distress
virescence,the state or condition of becoming green
immiseration,economic impoverishment
lithe,"(especially of a person's body) thin, supple, and graceful"
unmooring,"release the moorings of (a vessel);cause to feel insecure, confused, or disconnected"
adulation,uncritical admiration and praise of
salience,the quality of being particularly noticeable or important; prominence
in thrall,under someone's or something's control in some way
recompense,make amends to (someone) for loss or harm suffered; compensate
cudgel,a think club or stick
gyre,whirl or gyrate
cosseted,cared for and protected in an overindulgent way; pampered
poleaxed,"hit, kill, or knock down with or as if with a poleaxe"
cadged,ask for or obtain (something which one is not strictly entitled)
ardor,enthusiasm or passion
elides,omit (a sound or syllable) when speaking; join together; merge
besuited,"(of a person, especially a man) wearing a suit"
indelible,not able to be forgotten or removed
implacable,unable to be placated; relentless; unstoppable
mien,"a person's look or manner, especially one of a particular kind indicating their character or mood"
requited,"make appropriate return for (a favor, service, or wrongdoing)"
puerile,childishly silly and trivial
gibe,an insulting remark intended to make someone look foolish
auteur,a filmmaker whose personal influence and artistic control over a movie are so great that the filmmaker is regarded as the author of the movie
venality,the condition or quality of showing or being motivated by susceptibility to bribery
internecine,destructive to both sides in a conflict
hustings,a meeting at which candidates in an election address potential voters
priggish,self-righteously moralistic and superior
senescent,"relating to, characterized by, or associated with the state of being old or the process of aging"
